'd'		1667845083.4679658
'a'		1667845386.8599591
's'		1667845386.8679378
'd'		1667845387.0175376
'a'		1667845387.193068
's'		1667845387.199052
'd'		1667845387.349649
's'		1667845387.6907363
'a'		1667845388.0098827
'd'		1667845388.0108807
'a'		1667845388.0118775
's'		1667845388.012875
'd'		1667845388.0138724
'a'		1667845388.1435254
's'		1667845388.1465175
'd'		1667845388.3096595
'c'		1667845389.1400328
'f'		1667845389.3644323
Key.enter		1667845399.713846
Key.delete		1667845598.6392853
Key.enter		1667845599.4560995
<97>		1667845651.0590315
<98>		1667845651.23157
<97>		1667845651.4021137
<98>		1667845651.6055696
<99>		1667845651.6135483
<99>		1667845651.808028
<98>		1667845655.026418
<99>		1667845655.057335
<97>		1667845655.1780128
Key.delete		1667846075.8872502
Key.enter		1667846076.4244754
'a'		1667846089.662664
's'		1667846089.7185311
'd'		1667846089.9395206
'e'		1667846090.5057154
'd'		1667846090.705297
'e'		1667846090.806628
'n'		1667846090.946795
'e'		1667846091.012635
'm'		1667846091.0954134
'e'		1667846091.1941822
Key.space		1667846091.3966708
'o'		1667846092.2991648
'l'		1667846092.45249
'a'		1667846092.8126087
'm'		1667846092.9013884
'a'		1667846093.0206118
'z'		1667846093.17373
Key.enter		1667846093.554339
Key.delete		1667846258.8530579
'1'		1667846258.990254
'v'		1667885656.8718343
'b'		1667885658.9743743
'n'		1667885659.075869
'v'		1667885659.1797996
'b'		1667885659.300871
'n'		1667885659.309082
'v'		1667885659.4081686
'b'		1667885659.5032525
'n'		1667885659.5114326
'v'		1667885659.5921276
'b'		1667885659.6346438
'n'		1667885659.655189
'v'		1667885659.7374403
'b'		1667885659.814607
'n'		1667885659.824747
'v'		1667885659.929976
Key.backspace		1667885679.347257
Key.enter		1667885688.4466224
'b'		1667885762.1798592
'v'		1667885762.2940192
'b'		1667885762.415821
'n'		1667885762.4239697
'v'		1667885762.514162
'b'		1667885762.5953133
'n'		1667885762.6359897
'v'		1667885762.7175794
'b'		1667885762.7988794
'n'		1667885762.8068745
'v'		1667885762.8801377
'n'		1667885762.9452035
'b'		1667885763.0105813
'v'		1667885763.0675526
'b'		1667885763.157024
'n'		1667885763.1652157
Key.space		1667885763.385282
Key.space		1667885763.637286
Key.space		1667885763.7914414
Key.enter		1667885764.354586
Key.ctrl_l		1667885767.7922094
'a'		1667885793.2991285
'a'		1667885793.47792
'.'		1667885793.6165097
'r'		1667885793.795753
'a'		1667885793.917653
'r'		1667885794.023804
Key.enter		1667885794.8126886
'd'		1667885874.6813781
'e'		1667885874.8732228
'n'		1667885874.9246023
'e'		1667885875.0143297
'f'		1667885875.1406515
'ö'		1667885875.1486077
's'		1667885875.2043862
'n'		1667885875.2843523
'd'		1667885875.2946568
'k'		1667885875.3707583
'j'		1667885875.3809638
's'		1667885875.4732168
'd'		1667885875.483512
'j'		1667885875.8135924
'g'		1667885876.126744
'l'		1667885876.2081108
'f'		1667885876.3771229
'm'		1667885876.4994452
'd'		1667885876.6377416
'm'		1667885876.7494571
